property_id,property_name,property_address,property_type,number_of_units
87,property_87,address_87,condo,9
21,property_21,address_21,apartment,9
63,property_63,address_63,single_family,5
62,property_62,address_62,apartment,9
99,property_99,address_99,apartment,2
91,property_91,address_91,apartment,2
92,property_92,address_92,condo,7
90,property_90,address_90,single_family,4
34,property_34,address_34,apartment,1
12,property_12,address_12,single_family,1
74,property_74,address_74,townhouse,2
36,property_36,address_36,townhouse,10
81,property_81,address_81,apartment,6
13,property_13,address_13,apartment,9
38,property_38,address_38,single_family,6
61,property_61,address_61,townhouse,9
2,property_2,address_2,townhouse,10
75,property_75,address_75,townhouse,6
71,property_71,address_71,apartment,9
88,property_88,address_88,townhouse,6
3,property_3,address_3,condo,9
77,property_77,address_77,condo,10
97,property_97,address_97,single_family,8
31,property_31,address_31,single_family,1
29,property_29,address_29,condo,6
45,property_45,address_45,condo,7
30,property_30,address_30,single_family,9
48,property_48,address_48,condo,9
40,property_40,address_40,single_family,5
69,property_69,address_69,single_family,8
22,property_22,address_22,apartment,8
10,property_10,address_10,condo,2
7,property_7,address_7,apartment,4
64,property_64,address_64,apartment,4
33,property_33,address_33,apartment,3
6,property_6,address_6,single_family,4
26,property_26,address_26,single_family,9
95,property_95,address_95,apartment,7
73,property_73,address_73,apartment,6
44,property_44,address_44,townhouse,10
16,property_16,address_16,townhouse,7
28,property_28,address_28,condo,5
93,property_93,address_93,condo,7
43,property_43,address_43,condo,8
47,property_47,address_47,townhouse,1
83,property_83,address_83,single_family,7
86,property_86,address_86,townhouse,10
4,property_4,address_4,apartment,6
58,property_58,address_58,condo,2
5,property_5,address_5,single_family,6
67,property_67,address_67,condo,6
66,property_66,address_66,townhouse,6
60,property_60,address_60,apartment,1
39,property_39,address_39,townhouse,10
24,property_24,address_24,single_family,9
46,property_46,address_46,condo,10
41,property_41,address_41,townhouse,7
17,property_17,address_17,condo,7
35,property_35,address_35,townhouse,10
82,property_82,address_82,townhouse,5
37,property_37,address_37,single_family,6
94,property_94,address_94,townhouse,2
18,property_18,address_18,condo,10
85,property_85,address_85,townhouse,3
53,property_53,address_53,townhouse,8
8,property_8,address_8,townhouse,3
76,property_76,address_76,condo,10
32,property_32,address_32,single_family,5
27,property_27,address_27,apartment,6
9,property_9,address_9,condo,4
55,property_55,address_55,townhouse,2
54,property_54,address_54,condo,1
68,property_68,address_68,single_family,3
49,property_49,address_49,apartment,8
51,property_51,address_51,condo,7
70,property_70,address_70,single_family,1
79,property_79,address_79,single_family,8
52,property_52,address_52,condo,1
23,property_23,address_23,townhouse,3
50,property_50,address_50,single_family,4
42,property_42,address_42,single_family,8
96,property_96,address_96,condo,8
98,property_98,address_98,single_family,5
65,property_65,address_65,condo,6
25,property_25,address_25,apartment,1
89,property_89,address_89,condo,7
15,property_15,address_15,single_family,4
78,property_78,address_78,single_family,9
11,property_11,address_11,apartment,5
84,property_84,address_84,single_family,9
19,property_19,address_19,townhouse,2
57,property_57,address_57,single_family,9
100,property_100,address_100,townhouse,9
56,property_56,address_56,condo,3
1,property_1,address_1,single_family,1
14,property_14,address_14,apartment,6
80,property_80,address_80,apartment,8
20,property_20,address_20,single_family,7
59,property_59,address_59,townhouse,4
72,property_72,address_72,townhouse,1
